"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_number,screening,,text,"Surveillance Number",,,,,,,,y,,,,,HIDDEN-FORM
hosp,screening,,radio,Hospital,"1, Southmead | 2, BRI | 3, RUH",,,,,,,y,,,,,
enrollment_date,screening,,text,"<div class=""rich-text-field-label""><p>Enrollment Date</p> <p><span style=""font-weight: normal;"">(date entrance into screening log)</span></p></div>",,,date_dmy,,,,,y,,,,,
gender,screening,,radio,Gender,"1, Male | 2, Female",,,,,,,y,,,,,
age_at_admission,screening,,text,"Age at admission",,,,,,,,,,,,,
hapcovid_screening,screening,,yesno,"Is this screening a non-LRTD admission with a HAP Covid?",,,,,,,,,,,,,
fails_elig_age,screening,"<div class=""rich-text-field-label""><h2>Study Screening</h2></div>",descriptive,"<div class=""red"";><i><span style=""font-weight:normal;font-color:red;font-size:120%"">Patient does not fulfil enrolment criteria based on age - do not enter further data, sign as 'Unverified'",,,,,,,"[age_at_admission]<>'' and [age_at_admission] <18",,,,,,
acute_illness,screening,,radio,"Is this an acute illness?

(i.e. present for 28 days or less)","1, Yes|0, No",,,,,,,y,LH,,,,
fails_elig_age_3,screening,,descriptive,"<div class=""red"";><i><span style=""font-weight:normal;font-color:red;font-size:120%"">Patient does not fulfil enrolment criteria - do not enter further data, sign off as 'Unverified'",,,,,,,[acute_illness]='0',,,,,,
covid19,screening,,yesno,"<div class=""rich-text-field-label""><p>Current or suspected COVID-19 or previous proven COVID-19 within last 28 days?</p></div>",,,,,,,"[acute_illness] = 1",y,LH,,,,
current,screening,,radio,"current or a previous episode of COVID-19? ","1, Current (i.e. this clinical episode/illness) | 2, Previous (i.e. other clinical episode/illness)",,,,,,"[covid19] = '1'",,,,,,
clinical_radio_diagnosis,screening,,yesno,"Clinical or radiologic diagnosis of pneumonia or an acute LRTD",,,,,,,"[covid19] = '1' or [covid19] = '0'",y,LH,,,,
fever2,screening,"Signs and Symptoms of Respiratory Disease",radio,"Fever (>38.0°C) or hypothermia (< 35.5°C) before or within 24 hours of enrolment","1, Yes | 0, No",,,,,,"[acute_illness] = 1",y,,,screen_symptoms,,
pleurtic_cp,screening,,radio,"Pleuritic chest pain","1, Yes | 0, No",,,,,,"[acute_illness] = 1",y,,,screen_symptoms,,
cough2,screening,,radio,"Cough (including nocturnal only)","1, Yes | 0, No",,,,,,"[acute_illness] = 1",y,,,screen_symptoms,,
sput_prod,screening,,radio,"Sputum production or purulence","1, Yes | 0, No",,,,,,"[acute_illness] = 1",y,,,screen_symptoms,,
dyspnoea,screening,,radio,"Dyspnea (shortness of breath) including orthopnea or on exertion only","1, Yes | 0, No",,,,,,"[acute_illness] = 1",y,,,screen_symptoms,,
tachypnoea2,screening,,radio,"Tachypnea (respiratory rate ≥20/min) documented by healthcare professional","1, Yes | 0, No",,,,,,"[acute_illness] = 1",y,,,screen_symptoms,,
ausc_find,screening,,radio,"Abnormal auscultatory findings suggestive of LRTD","1, Yes | 0, No",,,,,,"[acute_illness] = 1",y,,,screen_symptoms,,
radiologic,screening,,radio,"Radiologic finding that is consistent with LRTD, including pneumonia, and/or acute congestive heart failure","1, Yes | 0, No",,,,,,"[acute_illness] = 1",y,,,screen_symptoms,,
qualifying_symptoms_signs,screening,,text,"Number of qualifying symptoms",,,,,,,,y,,,,," @HIDDEN"
qualifying_cap,screening,,text,"Number of qualifying symptoms for CAP",,,,,,,,,,,,," @HIDDEN"
qualifying_lrti_symptoms,screening,,text,"Number of qualifying Symptoms for LRTI- Acute infection ",,,,,,,,,,,,," @HIDDEN"
qualifying_lrti_lrtd,screening,,text,"Number of qualifying symptoms for LRTI- LRTD",,,,,,,,,,,,," @HIDDEN"
fails_elig_part_b,screening,,descriptive,"<div class=""red"";><i><span style=""font-weight:normal;font-color:red;font-size:120%"">Patient does not fulfil enrolment criteria - do not enter further data and sign as 'unverified'",,,,,,,"[covid19]='0' and [clinical_radio_diagnosis]='0' and [qualifying_symptoms_signs]< '2'",,,,,,
meets_eligibility_2,screening,,descriptive,"<div class=""yellow"";><i><span style=""font-weight:normal;font-color:green;font-size:120%"">Patient meets eligibility criteria for AvonCAP study - please check exclusion criteria",,,,,,,"[age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)",,,,,,
exclusion_criteria,screening,,yesno,"Did the patient develop signs and symptoms of LRTD after being hospitalized for ≥48 hours (either at current hospital, another transferring hospital, or a combination of these), unless admitted with current, previous proven, or suspected COVID-19 infection?",,,,,,,"[age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)",y,LH,,,,
previous_enrolled_particip,screening,,yesno,"Is this a previously enrolled participant readmitted ≤7 days after discharge for their study qualifying admission
",,,,,,,"[age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)",y,LH,,,,
lrtd_diagnosis_excluded,screening,,yesno,"Has an LRTD-related diagnosis been excluded or another diagnosis confirmed",,,,,,,"[age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)",y,LH,,,,
fails_elibigility,screening,,descriptive,"<div class=""red"";><i><span style=""font-weight:normal;font-color:red;font-size:120%"">Patient is not eligible for enrolment in AvonCAP - do not enter further data and sign as 'unverified'",,,,,,,"([exclusion_criteria]='1' or [previous_enrolled_particip]='1' or [lrtd_diagnosis_excluded]='1') and [covid19]<>'1'",,,,,,
meets_eligibility,screening,,descriptive,"<div class=""green"";><i><span style=""font-weight:normal;font-color:green;font-size:120%"">Patient is eligible for enrolment into AvonCAP study - please complete data collection",,,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",,,,,,
signs_header,screening,,descriptive,"<div class=""blue"";><span style=""font-weight:bold;font-size:100%"">Additional Signs and Symptoms of LRTD",,,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",,,,,,
symptom_days_preadmit,screening,,text,"Days of symptoms before admission",,,integer,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",y,,,,,
confusion,screening,,yesno,"<div class=""rich-text-field-label""><p>Was the patient clinically confused?<br /><span style=""font-weight: normal;"">(AMTS< 9 or 4AT< 4)</span></p></div>",,,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",y,,,,,
suddenonset,screening,,radio,"Sudden onset of symptoms","1, Yes | 2, No | 3, Unknown",,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",y,,,symptoms,,
anosmia,screening,,radio,"Anosmia (loss of smell)","1, Yes | 2, No | 3, Unknown",,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",,,,symptoms,,
ageusia,screening,,radio,"Ageusia (loss of taste)","1, Yes | 2, No | 3, Unknown",,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",,,,symptoms,,
dysgeusia,screening,,radio,"Dysgeusia (alteration of taste)","1, Yes | 2, No | 3, Unknown",,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",,,,symptoms,,
fever,screening,,radio,"Fever (>38C)","1, Yes | 2, No | 3, Unknown",,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",y,,,symptoms,,
hypothermia,screening,,radio,"Hypothermia (< 35.5C)","1, Yes | 2, No | 3, Unknown",,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",y,,,symptoms,,
chills,screening,,radio,"Chills or rigors","1, Yes | 2, No | 3, Unknown",,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",y,,,symptoms,,
headache,screening,,radio,Headache,"1, Yes | 2, No | 3, Unknown",,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",,,,symptoms,,
wheeze,screening,,radio,"New or increased wheeze","1, Yes | 2, No | 3, Unknown",,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",y,,,symptoms,,
malaise,screening,,radio,"New or increased malaise","1, Yes | 2, No | 3, Unknown",,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",y,,,symptoms,,
myalgia,screening,,radio,"New or increase myalgia","1, Yes | 2, No | 3, Unknown",,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",y,,,symptoms,,
worse_confusion,screening,,radio,"Worsening confusion/muddling","1, Yes | 2, No | 3, Unknown",,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",y,,,symptoms,,
general_det,screening,,radio,"Deterioration of general condition (asthenia or loss of weight or anorexia)","1, Yes | 2, No | 3, Unknown",,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",,,,symptoms,,
oe_cap,screening,,radio,"Abnormal auscultatory findings suggestive of pneumonia","1, Yes | 2, No | 3, Unknown",,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",y,,,symptoms,,
oe_lrtd,screening,,radio,"Abnormal auscultatory findings suggestive of other LRTD","1, Yes | 2, No | 3, Unknown",,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",y,,,symptoms,,
nyha,screening,,radio,"<div class=""rich-text-field-label""><p>NYHA - Heart Failure</p> <p> </p></div>","1, <b>No pre-existing cardiac failure</b>|2, <b>Unable to determine/unknown</b>|3, <b>Class I</b> No symptoms|4, <b>Class II</b> Mild symptoms (eg mild SOB)|5, <b>Class III</b> Marked limitation in activity due to symptoms (eg walking 20-100m). Comfortable only at rest|6, <b>Class IV</b> Severe limitations, symptoms at rest, bedbound",,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",y,,,,,
rockwood,screening,,radio,"<div class=""rich-text-field-label""><p>Rockwood Frailty Score</p></div>","1, <b> 1 - Very Fit </b> People who are robust, active, energetic and motivated. These people commonly exercise regularly. They are among the fittest for their age.|2, <b> 2 - Well </b> People who have no active disease symptoms but are less fit than category 1. Often, they exercise or are very active occasionally, e.g. seasonally.|3, <b> 3 - Managing Well</b> People whose medical problems are well controlled, but are not regularly active beyond routine walking.|4, <b>4 - Vulnerable</b> While not dependent on others for daily help, often symptoms limit activities. A common complaint is being ""slowed up"", and/or being tired during the day.|5, <b>5 - Mildly Frail </b> These people often have more evident slowing, and need help in high order IADLs (finances, transportation, heavy housework, medications). Typically, mild frailty progressively impairs shopping and walking outside alone, meal preparation and housework.|6, <b>6 - Moderately Frail</b> People need help with all outside activities and with keeping house. Inside, they often have problems with stairs and need help with bathing and might need minimal assistance (cuing, standby) with dressing.|7, <b>7 - Severely Frail</b> Completely dependent for personal care, from whatever cause (physical or cognitive). Even so, they seem stable and not at high risk of dying (within ~ 6 months).|8, <b>8 - Very Severely Frail </b> Completely dependent, approaching the end of life. Typically, they could not recover even from a minor illness.|9, <b>9 - Approaching the end of life</b> This category applies to people with a life expectancy < 6 months, who are not otherwise evidently frail.|10, <b>NOT RECORDED IN CLERKING </b>(or not assessed)",,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",y,,,,,
des_ve,screening,,descriptive,"<div class=""blue""><span style=""font-size: 110%; font-color: blue;"">Avon CAP: Vaccine Effectiveness</span></div>",,,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",,,,,,
previous_infection,screening,,radio,"Has this patient have a confirmed previous COVID-19 infection? (within 12 months prior Admission)","1, Yes | 0, No | 2, Unknown",,,,,,"(([age_at_admission]>17 AND [acute_illness] = '1' AND ([covid19]=1 OR [clinical_radio_diagnosis]=1 OR [qualifying_symptoms_signs] >1)) AND [exclusion_criteria]='0' AND [previous_enrolled_particip]='0' AND [lrtd_diagnosis_excluded]='0') or [covid19]='1'",y,,,,,
c19d_preadm,screening,,text,"Days of COVID diagnosis prior to admission",,,,,,y,[previous_infection]=1,,,,,,
staffdoingscreening,screening,"Research Staff Details",dropdown,"Study Staff Member completing form","1, Catherine Hyams | 2, Robyn Heath | 3, Kelly Turner | 4, Jade King | 5, Kazminder Fox | 6, Anabella Turner | 7, Oliver Griffiths | 8, Julie Cloake | 9, DMA | 10, Tawassal Riaz | 11, Beth Osborne | 12, Grace Tilzey | 13, Johanna Kellett-Wright | 14, Louise Wright | 15, Emma Scott | 16, Nicola Manning | 17, Rajeka Lazarus | 18, Rhian Walters | 19, Sandi Nammuni | 20, Katarina Milutinovic | 101, Catherine Hyams | 102, Zandile Maseko | 103, Lana Ward | 104, Zsolt Friedrich | 105, Elena Bellavia | 106, Kate Helliker | 107, Marianne Vasquez | 109, Leigh Morrison | 110, Anna Morley | 111, Gabriella Ruffino | 112, Johanna Kellett Wright",,,,,,,y,,,,,
warning_withdrawal18,clinical_features,"<h2>Additional Clinical Information</h2>",descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant has withdrawn from the study. Do not collect any further data.</span></div>",,,,,,,"[withdrawal_aspect] = '1' OR [withdrawal_aspect] = '2'",,,,,,
warning_declined,clinical_features,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant has declined consent to the study. Do not collect any further data.</span></div>",,,,,,,"[consented]= '2' OR [ppc]= '2'",,,,,,
piping_clinicalfeatures,clinical_features,,descriptive,"<div class=""blue""><span style=""font-weight: normal; font-color: blue; font-size: 140%;"">Admission date: [admission_date], </span><span style=""font-weight: normal; font-color: blue; font-size: 140%;"">NHS number: [nhs_number], </span><span style=""font-weight: normal; font-color: blue; font-size: 140%;"">Patient Name: [name]</span></div>",,,,,,,,,,,,,
vitalsignsonadmission,clinical_features,,descriptive,"<div class=""blue"";><span style=""font-weight:bold;font-size:100%"">Vital Signs on Admission<em> - use first recorded value obtained</em></p>",,,,,,,,,,,,,
hr,clinical_features,,text,"Heart Rate (bpm)",,"Enter 'NA' if not recorded",number,30,180,,,y,,,,,
systolic_bp,clinical_features,,text,"<div class=""rich-text-field-label""><p>Systolic BP <span style=""font-weight: normal;"">(mmHg)</span></p></div>",,"Enter 'NA' if not recorded",number,60,200,,,y,,,,,
diastolic_bp,clinical_features,,text,"<div class=""rich-text-field-label""><p>Diastolic BP <span style=""font-weight: normal;"">(mmHg)</span></p></div>",,"Enter 'NA' if not recorded",number,30,120,,,y,,,,,
hypotension,clinical_features,,yesno,"Was patient hypotensive (BP systolic < 90mmHg or diastolic ≤60 mmHg)?",,,,,,,,y,,,,," @HIDDEN"
temperature,clinical_features,,radio,Temperature,"1, Fever (T>38.0°C)|2, Hypothermia (T< 35.5°C)|3, Normal|4, Not recorded",,,,,,,y,,,,,
rr,clinical_features,,text,"Respiratory Rate",,"Enter 'NA' if not recorded",number,6,40,,,y,,,,,
resp_30,clinical_features,,yesno,"Is Respiratory Rate ≥ 30?",,,,,,,,y,,,,," @HIDDEN"
pulse_ox,clinical_features,,text,"Oxygen Saturation (%)",,"Enter 'NA' if not recorded",number,40,100,,,y,,,,,
fio2,clinical_features,,text,"<div class=""rich-text-field-label""><p>FiO2  (%)</p> <p><span style=""font-weight: normal;"">RA = 21%</span></p></div>",,"Enter 'NA' if not recorded",number,21,100,,,y,,,,,
ox_on_admission,clinical_features,,yesno,"Did the patient require oxygen supplementation < 4 hours of admission?",,,,,,,,y,,,,,
news_2_total,clinical_features,"<p>Disease Severity Scores</p>",text,"NEWS-2 Total Score (calculated)",,,,,,,,,,,,,
age_65_plus,clinical_features,,text,"Patient age ≥65 years",,,,,,,,,,,,," @HIDDEN-FORM"
crb_test_mai,clinical_features,,text,"CRB-65 Score",,,,,,,,,,,,,
curb65_4h,clinical_features,,yesno,"Was the CURB65 score completed < 4hours of admission?",,,,,,,,y,,,,,
care_home,clinical_features,<p>Demographics</p>,yesno,"Care home resident",,,,,,,,y,,,,,
news_2_bpm,clinical_features,"NEWS-2 Scoring Factors",text,"Respiratory rate (breath per minute)",,,,,,,,,,,,," @HIDDEN-FORM"
